,air_temperature,date,humidity,meeting_key,pressure,rainfall,session_key,track_temperature,wind_direction,wind_speed
0,17.3,2024-06-07 17:18:00.624000+00:00,88.0,1237,999.5,0,9524,27.5,241,0.7
1,17.3,2024-06-07 17:19:00.628000+00:00,87.0,1237,999.4,0,9524,27.3,245,1.5
2,17.3,2024-06-07 17:20:00.624000+00:00,88.0,1237,999.4,0,9524,27.0,256,0.6
3,17.2,2024-06-07 17:21:00.626000+00:00,87.0,1237,999.3,0,9524,27.1,236,0.4
4,17.3,2024-06-07 17:22:00.624000+00:00,87.0,1237,999.4,0,9524,27.2,264,1.0
5,17.4,2024-06-07 17:23:00.629000+00:00,87.0,1237,999.4,0,9524,27.1,238,0.7
6,17.4,2024-06-07 17:24:00.625000+00:00,88.0,1237,999.3,0,9524,26.8,225,0.8
7,17.5,2024-06-07 17:25:00.626000+00:00,88.0,1237,999.3,0,9524,26.8,242,0.7
8,17.4,2024-06-07 17:26:00.649000+00:00,88.0,1237,999.3,0,9524,26.7,256,0.6
9,17.4,2024-06-07 17:27:00.630000+00:00,87.0,1237,999.3,0,9524,27.2,0,0.6
10,17.5,2024-06-07 17:28:00.629000+00:00,88.0,1237,999.2,0,9524,27.6,309,0.4
11,17.5,2024-06-07 17:29:00.629000+00:00,89.0,1237,999.2,0,9524,28.0,60,0.0
12,17.6,2024-06-07 17:30:00.633000+00:00,88.0,1237,999.3,0,9524,28.6,171,0.0
13,17.8,2024-06-07 17:31:00.632000+00:00,87.0,1237,999.1,0,9524,28.6,256,0.5
14,17.7,2024-06-07 17:32:00.635000+00:00,87.0,1237,999.2,0,9524,28.2,0,0.6
15,17.8,2024-06-07 17:33:00.632000+00:00,85.0,1237,999.2,0,9524,28.1,245,0.6
16,17.8,2024-06-07 17:34:00.631000+00:00,85.0,1237,999.2,0,9524,27.9,238,0.8
17,18.0,2024-06-07 17:35:00.633000+00:00,87.0,1237,999.2,0,9524,27.5,226,1.0
18,17.8,2024-06-07 17:36:00.635000+00:00,86.0,1237,999.2,0,9524,27.4,224,1.2
19,17.8,2024-06-07 17:37:00.634000+00:00,86.0,1237,999.2,0,9524,27.0,226,1.4
20,17.8,2024-06-07 17:38:00.640000+00:00,88.0,1237,999.2,0,9524,26.9,211,0.9
21,17.9,2024-06-07 17:39:00.653000+00:00,87.0,1237,999.0,0,9524,26.9,250,0.7
22,17.9,2024-06-07 17:40:00.643000+00:00,85.0,1237,998.9,0,9524,26.9,272,0.8
23,17.9,2024-06-07 17:41:00.643000+00:00,85.0,1237,998.9,0,9524,26.9,272,0.8
24,17.9,2024-06-07 17:42:00.636000+00:00,85.0,1237,998.9,1,9524,26.0,227,1.0
25,17.8,2024-06-07 17:43:00.653000+00:00,86.0,1237,998.8,1,9524,25.7,15,0.6
26,17.8,2024-06-07 17:44:00.672000+00:00,85.0,1237,998.6,1,9524,25.5,348,1.1
27,17.7,2024-06-07 17:45:00.685000+00:00,85.0,1237,998.5,1,9524,25.5,328,1.2
28,17.8,2024-06-07 17:46:00.690000+00:00,86.0,1237,998.5,1,9524,25.7,342,1.5
29,17.8,2024-06-07 17:47:00.705000+00:00,85.0,1237,998.4,1,9524,25.7,355,1.1
30,17.9,2024-06-07 17:48:00.711000+00:00,86.0,1237,998.4,1,9524,25.8,336,1.0
31,17.9,2024-06-07 17:49:00.721000+00:00,86.0,1237,998.4,1,9524,26.1,353,0.9
32,18.0,2024-06-07 17:50:00.735000+00:00,87.0,1237,998.4,1,9524,26.5,337,0.8
33,18.0,2024-06-07 17:51:00.735000+00:00,83.0,1237,998.4,1,9524,26.7,280,1.0
